Official name of position,PC position phi,PC port
FPix_BmO_D2_BLD16_PNL1_RNG2,2Ba,5
FPix_BmO_D2_BLD15_PNL1_RNG2,2Ba,3
FPix_BmO_D2_BLD14_PNL1_RNG2,2Ba,1
FPix_BmO_D2_BLD13_PNL1_RNG2,2Bb,7
FPix_BmO_D2_BLD12_PNL1_RNG2,2Bb,5
FPix_BmO_D2_BLD11_PNL1_RNG2,2Bb,4
FPix_BmO_D2_BLD10_PNL1_RNG2,2Bb,3
FPix_BmO_D2_BLD9_PNL1_RNG2,2Bb,1
FPix_BmO_D2_BLD8_PNL1_RNG2,2Bc,7
FPix_BmO_D2_BLD7_PNL1_RNG2,2Bc,5
FPix_BmO_D2_BLD6_PNL1_RNG2,2Bc,3
FPix_BmO_D2_BLD5_PNL1_RNG2,2Bc,1
FPix_BmO_D2_BLD4_PNL1_RNG2,2Bd,7
FPix_BmO_D2_BLD3_PNL1_RNG2,2Bd,5
FPix_BmO_D2_BLD2_PNL1_RNG2,2Bd,3
FPix_BmO_D2_BLD1_PNL1_RNG2,2Bd,1
,,
FPix_BmO_D3_BLD11_PNL2_RNG1,3Ta,6
FPix_BmO_D3_BLD10_PNL2_RNG1,3Ta,4
FPix_BmO_D3_BLD9_PNL2_RNG1,3Ta,2
FPix_BmO_D3_BLD8_PNL2_RNG1,3Tb,6
FPix_BmO_D3_BLD7_PNL2_RNG1,3Tb,2
FPix_BmO_D3_BLD6_PNL2_RNG1,3Tc,6
FPix_BmO_D3_BLD5_PNL2_RNG1,3Tc,4
FPix_BmO_D3_BLD4_PNL2_RNG1,3Tc,2
FPix_BmO_D3_BLD3_PNL2_RNG1,3Td,6
FPix_BmO_D3_BLD2_PNL2_RNG1,3Td,4
FPix_BmO_D3_BLD1_PNL2_RNG1,3Td,2
FPix_BmO_D3_BLD11_PNL1_RNG1,3Ba,6
FPix_BmO_D3_BLD10_PNL1_RNG1,3Ba,4
FPix_BmO_D3_BLD9_PNL1_RNG1,3Ba,2
FPix_BmO_D3_BLD8_PNL1_RNG1,3Bb,6
FPix_BmO_D3_BLD7_PNL1_RNG1,3Bb,2
FPix_BmO_D3_BLD6_PNL1_RNG1,3Bc,6
FPix_BmO_D3_BLD5_PNL1_RNG1,3Bc,4
FPix_BmO_D3_BLD4_PNL1_RNG1,3Bc,2
FPix_BmO_D3_BLD3_PNL1_RNG1,3Bd,6
FPix_BmO_D3_BLD2_PNL1_RNG1,3Bd,4
FPix_BmO_D3_BLD1_PNL1_RNG1,3Bd,2
FPix_BmO_D3_BLD17_PNL2_RNG2,3Ta,7
FPix_BmO_D3_BLD16_PNL2_RNG2,3Ta,5
FPix_BmO_D3_BLD15_PNL2_RNG2,3Ta,3
FPix_BmO_D3_BLD14_PNL2_RNG2,3Ta,1
FPix_BmO_D3_BLD13_PNL2_RNG2,3Tb,7
FPix_BmO_D3_BLD12_PNL2_RNG2,3Tb,5
FPix_BmO_D3_BLD11_PNL2_RNG2,3Tb,4
FPix_BmO_D3_BLD10_PNL2_RNG2,3Tb,3
