"PC.position.Mirror" "Official.name.of.position" "ROC ID" "V2" "V3" "V4" "V5" "V6" "V_Digi" "V_Ana" "PC.port" "isOdd" "direct meas. (V)" "DCU meas. (LSB)" "DCU meas. (V)" "DCU* meas. (V)" "Va1 direct meas. (V)" "Va1 DCU meas. (LSB)" "Va1 DCU meas. (V)" "Va1 DCU* meas. (V)" "Vd1 direct meas. (V)" "Vd1 DCU meas. (LSB)" "Vd1 DCU meas. (V)" "Vd1 DCU* meas. (V)" "Va2 direct meas. (V)" "Va2 DCU meas. (LSB)" "Va2 DCU meas. (V)" "Va2 DCU* meas. (V)" "Vd2 direct meas. (V)" "Vd2 DCU meas. (LSB)" "Vd2 DCU meas. (V)" "Vd2 DCU* meas. (V)" "Va_final direct meas. (V)" "Va_final DCU* meas. (V)" "Vd_final direct meas. (V)" "Vd_final DCU* meas. (V)" "Diff_Vd_DCU* means. (V)" "Diff_Va_DCU* means. (V)"
"18" "B1C" "FPix_BpO_D1_BLD8_PNL1_RNG1_ROC0" 416 180 116 139 145 96 3.06620689655172 1.976 2 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"19" "B1C" "FPix_BpO_D1_BLD12_PNL1_RNG2_ROC0" 672 178 116 140 147 95 2.9908843537415 1.9491156462585 3 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"20" "B1C" "FPix_BpO_D1_BLD11_PNL1_RNG2_ROC0" 624 176 115 138 142 102 3.06140845070423 2.00035211267606 5 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"21" "B1C" "FPix_BpO_D1_BLD6_PNL1_RNG1_ROC0" 288 186 122 145 150 94 3.0628 2.00893333333333 6 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"22" "B1D" "FPix_BpO_D1_BLD17_PNL1_RNG2_ROC0" NA NA NA NA NA NA NA NA 1 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"23" "B1D" "FPix_BpO_D1_BLD11_PNL1_RNG1_ROC0" 608 154 106 138 142 97 2.6787323943662 1.84380281690141 2 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"24" "B1D" "FPix_BpO_D1_BLD9_PNL1_RNG1_ROC0" 480 178 117 138 144 76 3.05319444444444 2.006875 6 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"25" "B1D" "FPix_BpO_D1_BLD14_PNL1_RNG2_ROC0" 736 182 123 140 148 91 3.03743243243243 2.05277027027027 7 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"26" "B1D" "FPix_BpO_D1_BLD10_PNL1_RNG1_ROC0" 544 124255 124255 124255 124255 124255 2.47 2.47 4 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"27" "B1D" "FPix_BpO_D1_BLD15_PNL1_RNG2_ROC0" 768 190 129 146 155 95 3.02774193548387 2.05567741935484 5 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"28" "B1D" "FPix_BpO_D1_BLD16_PNL1_RNG2_ROC0" 800 124255 124255 124255 124255 124255 2.47 2.47 3 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"29" "B2A" "FPix_BpO_D2_BLD1_PNL1_RNG2_ROC0" NA NA NA NA NA NA NA NA 7 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"30" "B2A" "FPix_BpO_D2_BLD2_PNL1_RNG2_ROC0" NA NA NA NA NA NA NA NA 5 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"31" "B2A" "FPix_BpO_D2_BLD4_PNL1_RNG2_ROC0" NA NA NA NA NA NA NA NA 1 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"32" "B2A" "FPix_BpO_D2_BLD2_PNL1_RNG1_ROC0" NA NA NA NA NA NA NA NA 4 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"33" "B2A" "FPix_BpO_D2_BLD3_PNL1_RNG1_ROC0" NA NA NA NA NA NA NA NA 2 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"34" "B2A" "FPix_BpO_D2_BLD1_PNL1_RNG1_ROC0" NA NA NA NA NA NA NA NA 6 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"35" "B2A" "FPix_BpO_D2_BLD3_PNL1_RNG2_ROC0" NA NA NA NA NA NA NA NA 3 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"36" "B2B" "FPix_BpO_D2_BLD8_PNL1_RNG2_ROC0" 1088 184 121 143 148 88 3.07081081081081 2.01939189189189 3 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"37" "B2B" "FPix_BpO_D2_BLD6_PNL1_RNG2_ROC0" 960 190 124 146 150 98 3.12866666666667 2.04186666666667 5 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"38" "B2B" "FPix_BpO_D2_BLD5_PNL1_RNG2_ROC0" 896 184 120 142 146 98 3.11287671232877 2.03013698630137 7 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"39" "B2B" "FPix_BpO_D2_BLD4_PNL1_RNG1_ROC0" 848 190 124 144 150 105 3.12866666666667 2.04186666666667 6 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"40" "B2B" "FPix_BpO_D2_BLD9_PNL1_RNG2_ROC0" 1152 186 120 136 147 89 3.12530612244898 2.01632653061225 1 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"41" "B2B" "FPix_BpO_D2_BLD5_PNL1_RNG1_ROC0" 880 188 125 142 150 78 3.09573333333333 2.05833333333333 2 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"42" "B2B" "FPix_BpO_D2_BLD7_PNL1_RNG2_ROC0" 1024 182 118 134 145 101 3.10027586206897 2.01006896551724 4 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"43" "B2C" "FPix_BpO_D2_BLD8_PNL1_RNG1_ROC0" 1072 178 118 141 148 89 2.97067567567568 1.96932432432432 2 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"44" "B2C" "FPix_BpO_D2_BLD13_PNL1_RNG2_ROC0" 1360 178 118 142 151 86 2.91165562913907 1.93019867549669 1 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"45" "B2C" "FPix_BpO_D2_BLD11_PNL1_RNG2_ROC0" 1280 170 111 137 143 94 2.93636363636364 1.91727272727273 5 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"46" "B2C" "FPix_BpO_D2_BLD10_PNL1_RNG2_ROC0" 1216 172 111 139 145 100 2.92993103448276 1.8908275862069 7 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"47" "B2C" "FPix_BpO_D2_BLD12_PNL1_RNG2_ROC0" 1328 186 123 150 154 104 2.98324675324675 1.97279220779221 3 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"48" "B2C" "FPix_BpO_D2_BLD6_PNL1_RNG1_ROC0" 944 174 115 137 144 85 2.98458333333333 1.97256944444444 6 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"49" "B2C" "FPix_BpO_D2_BLD7_PNL1_RNG1_ROC0" 1008 182 121 143 153 87 2.93816993464052 1.95339869281046 4 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"50" "B2D" "FPix_BpO_D2_BLD17_PNL1_RNG2_ROC0" 1488 178 114 141 144 99 3.05319444444444 1.95541666666667 1 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"51" "B2D" "FPix_BpO_D2_BLD14_PNL1_RNG2_ROC0" 1392 172 113 139 140 95 3.03457142857143 1.99364285714286 7 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"52" "B2D" "FPix_BpO_D2_BLD15_PNL1_RNG2_ROC0" 1424 186 123 148 152 85 3.0225 1.99875 5 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
